date_key ;sale_date
1;16/6/2023
2;13/4/2022
3;5/7/2021
4;20/7/2022
5;18/3/2022
6;19/4/2024
7;11/5/2020
8;27/3/2023
9;31/8/2024
10;14/7/2021
11;15/11/2021
12;10/8/2021
13;14/5/2020
14;4/11/2022
15;27/10/2023
16;29/5/2021
17;28/8/2021
18;21/7/2021
19;27/10/2024
20;8/5/2024
21;24/3/2023
22;4/10/2024
23;13/3/2020
24;26/3/2024
25;6/12/2021
26;29/7/2023
27;22/7/2024
28;27/3/2023
29;18/10/2022
30;10/9/2020
31;2/1/2023
32;19/2/2024
33;24/3/2024
34;4/8/2021
35;17/7/2023
36;29/7/2022
37;7/3/2020
38;21/12/2023
39;15/4/2023
40;18/1/2024
41;3/5/2021
42;15/8/2021
43;16/3/2021
44;7/7/2024
45;25/8/2021
46;28/9/2022
47;1/4/2023
48;9/5/2024
49;20/4/2021
50;15/6/2021
51;12/2/2021
52;26/4/2021
53;16/1/2024
54;8/9/2022
55;14/5/2024
56;15/3/2024
57;16/3/2024
58;4/10/2023
59;23/5/2023
60;23/7/2020
61;18/5/2020
62;10/1/2024
63;15/3/2024
64;11/1/2022
65;27/7/2023
66;20/4/2023
67;16/9/2023
68;28/9/2022
69;12/11/2020
70;26/1/2024
71;15/3/2024
72;5/2/2022
73;19/1/2023
74;28/8/2022
75;30/4/2023
76;1/11/2022
77;29/9/2023
78;16/1/2020
79;10/1/2023
80;4/5/2023
81;11/5/2023
82;24/12/2023
83;10/5/2023
84;14/8/2020
85;29/3/2020
86;16/2/2021
87;21/1/2023
88;28/3/2023
89;18/9/2020
90;19/5/2022
91;30/9/2020
92;23/3/2020
93;19/1/2020
94;20/2/2020
95;10/9/2024
96;2/7/2021
97;16/7/2020
98;28/3/2021
99;13/1/2021
100;25/11/2020
101;28/2/2024
102;5/4/2024
103;28/7/2020
104;11/2/2022
105;2/11/2020
106;19/9/2023
107;25/9/2020
108;14/2/2020
109;1/4/2021
110;26/10/2023
111;9/5/2024
112;29/11/2020
113;11/5/2020
114;14/7/2022
115;3/9/2020
116;7/6/2021
117;20/5/2022
118;5/3/2022
119;16/3/2022
120;7/9/2024
121;29/12/2023
122;30/10/2024
123;14/9/2021
124;28/6/2022
125;16/2/2024
126;4/2/2022
127;24/9/2023
128;4/4/2020
129;15/2/2023
130;2/11/2024
131;10/5/2023
132;11/10/2024
133;21/6/2024
134;11/4/2023
135;28/1/2023
136;20/9/2023
137;19/5/2024
138;16/12/2020
139;2/4/2023
140;8/2/2020
141;1/2/2024
142;29/10/2024
143;9/2/2020
144;24/4/2020
145;1/2/2020
146;13/2/2022
147;6/4/2023
148;5/1/2022
149;29/9/2024
150;30/6/2020
151;27/8/2024
152;16/8/2021
153;11/4/2022
154;13/6/2021
155;9/7/2023
156;19/12/2023
157;7/6/2021
158;25/11/2023
159;29/5/2021
160;17/1/2021
161;3/12/2023
162;7/6/2024
163;8/7/2021
164;15/5/2024
165;20/5/2022
166;13/7/2021
167;1/12/2023
168;4/7/2023
169;27/9/2021
170;10/1/2023
171;26/11/2020
172;1/6/2023
173;10/6/2020
174;23/1/2022
175;22/3/2021
176;8/9/2024
177;27/5/2023
178;7/7/2024
179;5/1/2022
180;3/10/2022
181;4/8/2021
182;7/10/2023
183;27/3/2024
184;3/7/2022
185;4/10/2023
186;14/4/2024
187;19/3/2022
188;25/4/2024
189;3/11/2022
190;7/11/2020
191;30/3/2021
192;28/12/2021
193;12/2/2023
194;25/6/2024
195;20/10/2020
196;5/12/2020
197;22/7/2023
198;13/9/2022
199;25/6/2020
200;19/10/2023
201;7/4/2024
202;10/3/2023
203;4/1/2022
204;14/10/2023
205;27/7/2022
206;22/8/2020
207;10/12/2022
208;4/6/2020
209;2/9/2022
210;29/8/2024
211;3/9/2023
212;9/5/2023
213;23/6/2022
214;24/1/2021
215;10/4/2020
216;5/3/2024
217;11/9/2020
218;3/10/2023
219;11/9/2022
220;16/11/2023
221;29/2/2020
222;5/9/2020
223;12/1/2023
224;11/8/2022
225;26/12/2023
226;4/6/2022
227;24/5/2024
228;8/12/2021
229;23/5/2023
230;17/4/2022
231;23/4/2021
232;15/10/2022
233;9/2/2023
234;6/7/2020
235;17/2/2023
236;30/6/2021
237;19/3/2022
238;4/2/2020
239;21/4/2024
240;8/8/2023
241;7/11/2024
242;29/3/2020
243;22/4/2023
244;25/3/2023
245;24/11/2020
246;21/7/2024
247;5/11/2023
248;13/1/2020
249;18/9/2024
250;29/5/2023
251;17/4/2020
252;27/3/2021
253;7/3/2023
254;8/3/2022
255;11/1/2024
256;23/1/2022
257;20/12/2022
258;27/7/2022
259;28/5/2024
260;6/1/2024
261;10/3/2021
262;7/10/2021
263;7/10/2024
264;20/1/2022
265;24/3/2022
266;26/7/2020
267;3/8/2022
268;6/1/2024
269;4/2/2022
270;27/9/2023
271;18/12/2023
272;31/12/2022
273;2/1/2022
274;30/5/2023
275;19/11/2020
276;11/3/2023
277;1/9/2021
278;1/10/2021
279;6/5/2023
280;3/9/2020
281;11/2/2021
282;14/7/2023
283;12/3/2024
284;7/11/2023
285;11/2/2024
286;30/7/2024
287;10/1/2021
288;17/2/2022
289;19/6/2021
290;23/3/2021
291;4/2/2023
292;23/10/2024
293;20/5/2021
294;23/5/2021
295;10/2/2021
296;12/4/2020
297;23/7/2024
298;7/9/2024
299;16/7/2021
300;17/8/2020
301;12/5/2020
302;10/2/2021
303;11/11/2020
304;11/10/2021
305;1/1/2023
306;15/6/2023
307;21/10/2021
308;8/11/2021
309;31/1/2023
310;4/10/2021
311;15/2/2021
312;7/12/2023
313;15/4/2021
314;22/10/2021
315;17/4/2024
316;2/12/2020
317;6/10/2020
318;21/12/2022
319;9/5/2020
320;7/12/2020
321;16/6/2023
322;28/6/2024
323;24/6/2020
324;23/4/2024
325;2/7/2024
326;10/4/2022
327;29/8/2021
328;24/2/2023
329;9/6/2023
330;6/3/2021
331;29/1/2022
332;24/3/2024
333;12/6/2024
334;10/9/2024
335;25/12/2023
336;18/12/2021
337;2/12/2020
338;22/11/2023
339;21/7/2022
340;23/3/2021
341;12/5/2024
342;17/5/2020
343;20/5/2020
344;28/4/2022
345;10/7/2023
346;4/10/2022
347;18/9/2024
348;13/10/2024
349;11/7/2023
350;25/8/2022
351;26/2/2021
352;29/10/2023
353;27/8/2024
354;1/12/2023
355;4/9/2023
356;17/3/2024
357;25/6/2020
358;15/6/2023
359;14/12/2021
360;12/6/2023
361;28/11/2020
362;5/9/2022
363;3/7/2020
364;12/11/2023
365;24/6/2020
366;29/12/2023
367;19/12/2023
368;22/9/2020
369;15/11/2020
370;24/8/2022
371;6/4/2023
372;7/3/2022
373;22/4/2020
374;30/11/2021
375;17/7/2021
376;4/12/2021
377;27/7/2024
378;24/8/2021
379;22/10/2022
380;11/12/2023
381;19/10/2022
382;29/10/2021
383;8/6/2021
384;8/4/2022
385;5/5/2023
386;22/9/2022
387;13/4/2020
388;24/5/2020
389;31/10/2023
390;14/4/2024
391;13/9/2023
392;22/2/2021
393;20/11/2021
394;18/4/2020
395;5/4/2024
396;9/9/2021
397;23/10/2023
398;14/2/2020
399;5/9/2022
400;25/12/2020
401;27/10/2021
402;6/2/2020
403;27/5/2023
404;5/12/2022
405;8/8/2023
406;21/5/2022
407;19/3/2020
408;14/10/2021
409;2/4/2024
410;9/6/2024
411;29/9/2023
412;25/7/2021
413;11/7/2021
414;24/2/2023
415;18/1/2022
416;16/4/2020
417;21/6/2023
418;20/1/2020
419;5/2/2024
420;25/2/2021
421;10/11/2021
422;22/6/2022
423;4/2/2021
424;28/1/2022
425;22/7/2024
426;29/10/2024
427;22/2/2024
428;12/5/2024
429;27/7/2023
430;29/11/2021
431;14/2/2020
432;18/12/2021
433;4/10/2022
434;25/7/2023
435;3/1/2023
436;13/8/2022
437;28/4/2021
438;18/8/2022
439;6/4/2021
440;13/8/2022
441;29/5/2023
442;17/1/2021
443;1/11/2020
444;4/4/2024
445;30/7/2021
446;8/5/2024
447;2/12/2022
448;29/5/2024
449;16/7/2022
450;7/6/2023
451;20/7/2020
452;18/10/2021
453;21/2/2024
454;8/9/2020
455;2/10/2021
456;30/5/2023
457;20/11/2022
458;9/8/2024
459;22/11/2020
460;8/8/2024
461;12/2/2021
462;25/5/2024
463;29/9/2023
464;5/6/2020
465;22/7/2023
466;8/1/2020
467;15/12/2022
468;11/10/2023
469;29/5/2022
470;1/1/2023
471;5/9/2020
472;31/7/2023
473;13/12/2020
474;14/4/2022
475;29/9/2022
476;27/8/2022
477;19/3/2024
478;14/7/2020
479;22/1/2023
480;21/1/2020
481;21/8/2022
482;25/9/2024
483;11/8/2020
484;21/10/2023
485;2/6/2020
486;16/11/2021
487;29/3/2022
488;8/11/2024
489;20/7/2021
490;5/10/2023
491;10/11/2020
492;12/9/2023
493;9/12/2021
494;12/10/2023
495;8/11/2020
496;11/4/2024
497;8/5/2021
498;21/10/2023
499;3/1/2021
500;9/1/2022
501;21/1/2021
502;1/5/2021
503;6/9/2023
504;25/12/2020
505;19/4/2020
506;30/4/2021
507;3/11/2024
508;21/3/2021
509;4/2/2024
510;5/11/2021
511;8/11/2023
512;15/4/2022
513;23/12/2022
514;6/8/2022
515;19/8/2024
516;4/10/2022
517;1/7/2021
518;19/2/2022
519;4/8/2023
520;14/2/2020
521;21/8/2020
522;25/5/2022
523;13/6/2020
524;31/5/2022
525;9/4/2021
526;18/10/2021
527;22/6/2024
528;11/9/2020
529;6/5/2023
530;29/6/2020
531;26/2/2023
532;2/10/2022
533;14/4/2024
534;22/1/2022
535;3/1/2023
536;1/6/2023
537;18/6/2022
538;20/5/2024
539;15/10/2024
540;6/12/2022
541;17/8/2021
542;22/12/2022
543;24/8/2021
544;9/10/2021
545;4/1/2022
546;22/5/2023
547;31/10/2020
548;8/8/2021
549;16/10/2024
550;15/7/2022
551;4/12/2020
552;17/3/2024
553;3/1/2020
554;10/4/2020
555;18/9/2021
556;8/4/2024
557;25/2/2022
558;1/4/2024
559;8/7/2023
560;24/1/2020
561;18/5/2024
562;1/12/2021
563;25/6/2022
564;21/1/2022
565;11/9/2024
566;7/11/2021
567;14/11/2020
568;5/8/2022
569;27/1/2020
570;7/9/2021
571;22/9/2022
572;22/1/2024
573;27/3/2022
574;26/2/2023
575;22/1/2023
576;15/2/2023
577;12/3/2021
578;11/10/2023
579;14/9/2024
580;5/8/2023
581;28/6/2024
582;26/3/2023
583;16/9/2023
584;23/10/2020
585;25/12/2022
586;5/10/2020
587;29/9/2022
588;16/3/2020
589;12/8/2021
590;26/1/2020
591;24/11/2023
592;18/4/2020
593;8/5/2024
594;8/10/2021
595;1/2/2023
596;5/3/2024
597;9/8/2020
598;21/6/2020
599;8/5/2024
600;13/6/2023
601;31/12/2022
602;19/6/2021
603;3/10/2022
604;17/2/2021
605;30/4/2022
606;13/11/2022
607;22/10/2024
608;6/8/2023
609;18/4/2024
610;5/4/2023
611;24/3/2024
612;27/8/2020
613;10/5/2023
614;21/7/2021
615;11/9/2021
616;20/3/2023
617;27/5/2020
618;21/6/2021
619;7/7/2022
620;3/1/2020
621;3/3/2022
622;11/1/2024
623;28/7/2021
624;24/6/2022
625;13/3/2021
626;1/4/2020
627;5/10/2020
628;31/3/2024
629;26/1/2024
630;22/8/2024
631;17/6/2021
632;10/11/2023
633;29/4/2024
634;27/10/2022
635;21/6/2022
636;7/11/2022
637;2/8/2020
638;1/1/2024
639;10/7/2020
640;2/11/2023
641;1/10/2024
642;19/11/2022
643;2/1/2024
644;2/9/2022
645;1/9/2021
646;8/10/2022
647;2/1/2024
648;12/12/2022
649;8/3/2023
650;2/11/2023
651;1/5/2021
652;15/5/2020
653;18/7/2020
654;6/8/2020
655;24/3/2023
656;7/2/2024
657;29/3/2021
658;29/12/2021
659;15/3/2024
660;6/9/2021
661;9/7/2024
662;27/5/2024
663;22/10/2021
664;22/3/2021
665;14/11/2022
666;2/2/2023
667;10/1/2024
668;19/9/2021
669;22/5/2020
670;14/3/2022
671;16/3/2024
672;2/6/2022
673;28/5/2022
674;19/9/2024
675;16/4/2021
676;17/3/2023
677;5/5/2021
678;8/11/2022
679;9/7/2020
680;18/8/2023
681;23/5/2024
682;31/3/2023
683;29/8/2024
684;29/12/2022
685;21/9/2020
686;20/6/2020
687;27/12/2023
688;28/1/2020
689;29/4/2020
690;13/7/2021
691;25/10/2024
692;26/9/2021
693;5/2/2024
694;22/8/2024
695;14/3/2020
696;23/6/2022
697;14/3/2021
698;24/3/2023
699;6/9/2020
700;28/6/2024
701;27/1/2020
702;19/7/2020
703;24/1/2023
704;23/11/2020
705;7/7/2023
706;26/9/2020
707;6/2/2021
708;28/9/2024
709;29/9/2022
710;17/10/2024
711;21/12/2023
712;29/5/2024
713;14/8/2024
714;27/5/2020
715;4/11/2020
716;15/8/2022
717;2/9/2024
718;4/1/2022
719;2/4/2020
720;10/9/2024
721;20/10/2023
722;31/12/2021
723;3/3/2024
724;26/11/2020
725;30/5/2020
726;6/5/2023
727;25/8/2022
728;25/2/2021
729;3/10/2023
730;13/2/2022
731;15/1/2020
732;13/1/2023
733;12/10/2024
734;14/12/2022
735;31/5/2020
736;15/4/2024
737;23/4/2021
738;8/8/2023
739;10/5/2021
740;16/9/2023
741;2/9/2023
742;2/12/2023
743;13/3/2023
744;17/4/2024
