product_key;Product_ID;product_key;Product_ID;Product_Name;Category_ID;Price;Launch_Date
;P-1;1;P-1;MacBook;CAT-1;1149;17/9/2023
;P-2;2;P-2;MacBook Air (M1);CAT-1;1783;11/11/2023
;P-3;3;P-3;MacBook Air (M2);CAT-1;1588;24/5/2020
;P-4;4;P-4;MacBook Pro 13-inch;CAT-1;1351;17/1/2021
;P-5;5;P-5;MacBook Pro 14-inch;CAT-1;768;12/5/2024
;P-6;6;P-6;MacBook Pro 16-inch;CAT-1;1179;28/12/2021
;P-7;7;P-7;MacBook (Retina);CAT-1;231;17/10/2023
;P-8;8;P-8;MacBook Air (Retina);CAT-1;1847;16/1/2020
;P-9;9;P-9;MacBook Pro (Touch Bar);CAT-1;1304;17/6/2024
;P-10;10;P-10;MacBook (Early 2015);CAT-1;741;19/11/2022
;P-11;11;P-11;AirPods (2nd Generation);CAT-2;504;13/6/2022
;P-12;12;P-12;AirPods (3rd Generation);CAT-2   ;1;30/5/2021
;P-13;13;P-13;AirPods Pro;CAT-2;1167;6/10/2024
;P-14;14;P-14;AirPods Pro (2nd Generation);CAT-2;696;29/1/2021
;P-15;15;P-15;AirPods Max;CAT-2;1603;19/8/2022
;P-16;16;P-16;Beats Studio Buds;CAT-2;762;7/5/2024
;P-17;17;P-17;Beats Fit Pro;CAT-2;1839;23/12/2022
;P-18;18;P-18;Beats Solo Pro;CAT-2;1773;26/2/2024
;P-19;19;P-19;Beats Powerbeats Pro;CAT-2;1060;15/12/2020
;P-20;20;P-20;HomePod (2nd Generation);CAT-2;689;15/10/2020
;P-21;21;P-21;HomePod mini;CAT-2;438;5/4/2022
;P-22;22;P-22;iPad (10th Generation);CAT-3;1735;18/5/2021
;P-23;23;P-23;iPad (9th Generation);CAT-3;1949;8/3/2022
;P-24;24;P-24;iPad mini (6th Generation);CAT-3;573;27/11/2022
;P-25;25;P-25;iPad mini (5th Generation);CAT-3;1912;10/1/2023
;P-26 ;26;P-26 ; iPad Air (5th Generation) ;CAT-3;1591;6/3/2021
;P-28;27;P-27; iPad Pro 11-inch;CAT-3;1761;7/5/2023
;P-29;28;P-28;iPad Pro 12.9-inch;CAT-3   ;1167;10/11/2023
;P-30;29;P-29;   iPad Pro (M1);CAT-3;1329;14/9/2020
;P-31;30;P-30;iPad Pro (M2);CAT-3    ;1826;25/8/2021
;P-32;31;P-31;iPhone 14;CAT-4;1476;13/6/2021
;P-33;32;P-32;iPhone 14 Plus;CAT-4;1259;4/9/2023
;P-34;33;P-33;iPhone 14 Pro;CAT-4;1380;24/12/2021
;P-35;34;P-34;iPhone 14 Pro Max;CAT-4;678;7/10/2024
;P-36;35;P-35;iPhone 13;CAT-4;623;15/6/2023
;P-37;36;P-36;iPhone 13 mini;CAT-4;1092;20/6/2021
;P-38;37;P-37;iPhone 13 Pro;CAT-4;308;22/3/2021
;P-39;38;P-38;iPhone 13 Pro Max;CAT-4;820;9/5/2024
;P-40;39;P-39;iPhone SE (3rd Generation);CAT-4;923;10/11/2022
;P-41;40;P-40;iPhone 12;CAT-4;1436;5/3/2020
;P-42;41;P-41;iPhone 12 mini;CAT-4;1607;31/10/2020
;P-43;42;P-42;iPhone 12 Pro;CAT-4;1;3/8/2024
;P-44;43;P-43;iPhone 12 Pro Max;CAT-4;544;9/9/2020
;P-45;44;P-44;Apple Watch Series 9;CAT-5;1014;12/9/2020
;P-46;45;P-45;Apple Watch Ultra;CAT-5;346;30/8/2024
;P-47;46;P-46;Apple Watch SE;CAT-5;1546;20/1/2020
;P-48;47;P-47;Apple Watch Nike Edition;CAT-5;884;24/6/2020
;P-49;48;P-48;Apple Watch Hermès;CAT-5;1712;1/1/2020
;P-50;49;P-49;Apple Watch Series 8;CAT-5;1631;12/7/2022
;P-51;50;P-50;Apple Watch Series 7;CAT-5;1431;13/1/2020
;P-52;51;P-51;Apple Watch Series 6;CAT-5;462;27/4/2023
;P-53;52;P-52;Apple Watch Series 5;CAT-5;1296;10/11/2023
;P-54;53;P-53;Apple TV 4K;CAT-6;1255;17/2/2023
;P-55;54;P-54;Apple TV HD;CAT-6;1258;24/11/2021
;P-56;55;P-55;Apple TV (3rd Generation);CAT-6;477;1/7/2020
;P-57;56;P-56;iMac 24-inch;CAT-7;449;7/4/2021
;P-58;57;P-57;iMac 27-inch;CAT-7;1918;17/5/2022
;P-59;58;P-58;iMac Pro;CAT-7;1081;20/8/2021
;P-60;59;P-59;iMac with Retina Display;CAT-7;343;24/7/2020
;P-61;60;P-60;Mac Pro (2023);CAT-7;681;14/7/2023
;P-62;61;P-61;Mac Pro (Tower);CAT-7;458;31/10/2022
;P-63;62;P-62;Mac Pro (Rack);CAT-7;1415;6/6/2022
;P-64;63;P-63;Mac Studio;CAT-7;613;15/2/2024
;P-65;64;P-64;Mac Mini;CAT-7;555;27/9/2020
;P-66;65;P-65;Mac Mini (M2);CAT-7;874;30/10/2021
;P-67;66;P-66;iCloud;CAT-8;1181;26/1/2021
;P-68;67;P-67;Apple Music;CAT-8;1965;26/9/2020
;P-69;68;P-68;Apple TV+;CAT-8;404;4/11/2024
;P-70;69;P-69;Apple Fitness+;CAT-8;923;6/5/2021
;P-71;70;P-70;Apple Arcade;CAT-8;549;13/9/2024
;P-72;71;P-71;Apple News+;CAT-8;253;26/1/2022
